,QuestionId,UserId,GroupId,QuizId,Gender,IsCorrect,PremiumPupil,Age,DateAnswered,Confidence,Clusters_Kprot,Clusters_g_scipy,Clusters_g_ls,Clusters_g_la,Clusters_g_lc,Category1
913567,27,5493,11,25,0,1,False,0.0,20200105,0.0,1,2,0,1,1,Number
995664,170,488,53,30,0,1,False,0.0,20191218,0.0,2,2,0,1,1,Algebra
42955,52,5795,146,25,1,0,False,11.0,20191216,0.0,2,1,0,2,2,Number
9261,599,4803,53,30,0,0,False,0.0,20191205,0.0,2,1,0,1,1,Number
203340,392,5526,97,86,2,0,False,12.0,20191213,0.0,2,1,0,0,1,Algebra
614901,637,3848,306,46,0,1,False,0.0,20200212,0.0,1,2,0,1,1,Number
331182,738,5302,380,65,2,1,False,11.0,20191129,100.0,2,2,0,2,2,Number
533665,559,5401,198,5,2,1,False,11.0,20191201,100.0,2,2,0,2,2,Number
324163,850,1569,337,9,2,1,False,11.0,20191125,100.0,2,2,0,2,2,Algebra
660011,740,5504,345,84,0,1,False,0.0,20191119,0.0,2,2,0,1,1,Algebra
1071963,620,5717,131,91,1,1,True,11.0,20200216,100.0,1,2,0,2,0,Geometry and Measure
517511,533,1678,380,37,2,1,True,12.0,20191125,0.0,2,2,0,0,0,Algebra
1222797,6,4988,345,66,0,1,False,0.0,20191205,0.0,2,2,0,1,1,Number
429849,409,3862,206,37,1,0,False,0.0,20191206,0.0,2,1,0,1,1,Algebra
682780,260,1470,53,17,2,1,True,12.0,20200316,0.0,0,2,0,1,0,Number
150416,333,3456,181,73,0,1,False,0.0,20191017,100.0,2,2,0,1,1,Number
1286551,659,1679,2,57,0,1,False,0.0,20190926,0.0,2,2,0,1,1,Number
1254275,341,3251,46,87,0,1,False,0.0,20200131,0.0,1,2,0,1,1,Geometry and Measure
225478,862,3762,171,37,0,1,False,0.0,20191220,100.0,2,2,0,1,1,Algebra
685546,231,5268,97,59,1,1,True,12.0,20200106,0.0,1,2,0,0,0,Geometry and Measure
1194231,914,673,163,88,1,1,True,11.0,20200110,0.0,1,2,0,2,0,Geometry and Measure
758000,367,4511,163,25,2,0,False,12.0,20191208,0.0,2,1,0,0,1,Number
803380,934,5289,328,9,1,0,True,11.0,20191128,0.0,2,1,0,2,0,Algebra
762550,824,5430,175,78,1,0,False,11.0,20200130,50.0,1,1,0,2,2,Geometry and Measure
152435,585,4267,211,65,2,1,False,11.0,20191117,0.0,2,2,0,2,2,Number
377945,459,6057,96,6,2,0,False,0.0,20200301,0.0,0,1,0,1,1,Algebra
1359409,446,485,91,32,0,0,False,0.0,20191028,0.0,2,1,0,1,1,Number
1180883,37,1389,165,25,2,0,False,11.0,20200116,0.0,1,1,0,2,2,Number
1268320,628,3862,206,109,1,0,False,0.0,20191226,0.0,2,1,0,1,1,Number
32882,670,3009,254,37,1,0,False,12.0,20191126,0.0,2,1,0,0,1,Algebra
944820,804,301,183,57,0,1,False,0.0,20190930,0.0,2,2,0,1,1,Number
523013,371,2366,27,84,1,0,False,11.0,20191130,100.0,2,1,0,2,2,Algebra
1251565,370,761,254,37,1,1,False,11.0,20191124,100.0,2,2,0,2,2,Algebra
1241780,263,3829,350,65,1,0,False,11.0,20191125,75.0,2,1,0,2,2,Number
1151769,26,3985,215,18,0,0,False,0.0,20190911,0.0,2,1,0,1,1,Geometry and Measure
417554,594,3377,221,18,2,0,True,12.0,20191103,0.0,2,1,0,0,0,Number
185934,754,748,249,62,1,1,False,0.0,20191127,0.0,2,2,0,1,1,Number
284392,211,18,139,17,0,1,False,0.0,20191107,0.0,2,2,0,1,1,Number
1128621,494,3656,387,53,0,0,False,0.0,20191101,0.0,2,1,0,1,1,Number
429471,834,4152,130,25,0,1,False,0.0,20191206,75.0,2,2,0,1,1,Algebra
248772,110,5385,32,115,1,1,False,0.0,20200328,0.0,0,2,0,1,1,Algebra
651516,368,5796,129,25,1,1,False,0.0,20191130,0.0,2,2,0,1,1,Number
977765,233,4811,11,63,0,1,False,0.0,20191121,0.0,2,2,0,1,1,Number
1322364,363,4048,311,88,2,1,False,11.0,20200108,0.0,1,2,0,2,2,Geometry and Measure
944390,872,464,37,19,1,0,True,12.0,20200222,0.0,1,1,0,0,0,Algebra
121466,4,1967,48,113,0,1,False,0.0,20200226,0.0,1,2,0,1,1,Geometry and Measure
512259,83,347,321,111,2,0,True,11.0,20200114,0.0,1,1,0,2,0,Geometry and Measure
1249501,480,5328,150,68,2,1,False,11.0,20191007,0.0,2,2,0,2,2,Number
527685,500,4422,149,62,2,1,False,11.0,20191106,75.0,2,2,0,2,2,Number
1313016,375,1991,199,47,0,0,False,0.0,20200421,0.0,0,1,0,1,1,Geometry and Measure
120384,64,4340,93,59,1,1,False,11.0,20200106,75.0,1,2,0,2,2,Geometry and Measure
1288211,791,1871,144,17,1,0,False,11.0,20191216,0.0,2,1,0,2,2,Number
329368,216,5717,131,78,1,1,True,11.0,20191229,100.0,2,2,0,2,0,Geometry and Measure
20357,298,556,269,78,1,1,False,11.0,20200225,0.0,1,2,0,2,2,Geometry and Measure
611676,738,5299,289,65,2,0,True,12.0,20191208,100.0,2,1,0,0,0,Number
934063,20,4886,118,105,0,1,False,0.0,20200205,0.0,1,2,0,1,1,Geometry and Measure
328232,47,1692,353,111,0,1,False,0.0,20200213,0.0,1,2,0,1,1,Geometry and Measure
1087449,409,600,252,37,0,0,False,0.0,20200129,0.0,1,1,0,1,1,Algebra
825275,93,1290,3,39,1,0,False,11.0,20191005,25.0,2,1,0,2,2,Number
857979,160,6023,350,86,1,0,False,11.0,20200105,0.0,1,1,0,2,2,Algebra
857508,414,5655,260,115,2,0,True,12.0,20200327,100.0,0,1,0,0,0,Algebra
1221915,152,4973,170,50,2,1,False,0.0,20200112,100.0,1,2,0,1,1,Algebra
953315,130,2341,290,55,1,0,False,0.0,20200315,0.0,0,1,0,1,1,Geometry and Measure
642744,598,5580,37,76,1,0,False,12.0,20200420,0.0,0,1,0,0,1,Number
166348,738,4511,163,65,2,1,False,12.0,20191121,0.0,2,2,0,0,1,Number
290848,51,786,332,66,2,0,False,11.0,20200104,0.0,1,1,0,2,1,Algebra
110023,154,206,324,39,0,0,False,0.0,20200316,0.0,0,1,0,1,1,Number
883628,465,2598,244,86,0,1,False,0.0,20200121,75.0,1,2,0,1,1,Algebra
687585,610,1623,76,9,2,1,False,0.0,20200323,0.0,0,2,0,1,1,Algebra
1284752,862,2507,275,37,0,1,False,0.0,20191220,100.0,2,2,0,1,1,Algebra
247106,939,159,136,63,1,0,False,12.0,20191121,0.0,2,1,0,0,1,Number
981600,732,4849,114,5,1,0,False,0.0,20191218,0.0,2,1,0,1,1,Number
37568,235,5001,328,6,1,1,True,12.0,20200304,0.0,0,2,0,0,1,Algebra
678068,645,5902,351,25,0,1,False,0.0,20200129,0.0,1,2,0,1,1,Number
1348904,710,961,17,78,0,0,False,0.0,20200207,0.0,1,1,0,1,1,Geometry and Measure
721297,873,1007,3,88,2,1,True,12.0,20200130,0.0,1,2,0,0,0,Geometry and Measure
1300051,527,1206,290,46,1,1,False,0.0,20200210,0.0,1,2,0,1,1,Number
6396,158,2086,382,109,1,0,True,11.0,20191203,0.0,2,1,0,2,0,Number
1159430,6,386,200,66,2,1,False,11.0,20200115,0.0,1,2,0,2,2,Number
860560,27,959,254,25,2,0,False,12.0,20200106,0.0,1,1,0,0,1,Number
1283700,469,4940,181,17,0,1,False,0.0,20191023,0.0,2,2,0,1,1,Number
524038,786,2614,231,46,1,1,False,11.0,20191218,0.0,2,2,0,2,2,Number
527563,97,5892,11,60,0,1,False,0.0,20200123,0.0,1,2,0,1,1,Algebra
254626,943,2688,248,32,2,1,False,11.0,20191104,0.0,2,2,0,2,2,Number
1129586,754,142,300,62,2,0,False,11.0,20191121,75.0,2,1,0,2,1,Number
537995,328,537,156,25,2,1,False,0.0,20191126,0.0,2,2,0,1,1,Algebra
473501,284,2536,289,73,1,0,False,11.0,20191117,0.0,2,1,0,2,2,Number
509963,94,2150,188,36,0,0,False,0.0,20200213,75.0,1,1,0,1,1,Geometry and Measure
288415,31,3584,260,109,2,1,False,11.0,20191213,0.0,2,2,0,2,2,Number
626552,8,4908,53,30,2,1,False,0.0,20191211,0.0,2,2,0,1,1,Number
686826,896,4492,169,17,1,1,False,11.0,20191029,100.0,2,2,0,2,2,Number
1061402,614,2227,165,63,2,0,True,12.0,20191111,0.0,2,1,0,0,1,Number
339987,497,3938,380,59,1,1,True,12.0,20200119,0.0,1,2,0,0,0,Geometry and Measure
1064916,676,5503,384,64,0,0,False,0.0,20191108,0.0,2,1,0,1,1,Number
37344,625,4278,275,111,0,1,False,0.0,20200123,0.0,1,2,0,1,1,Geometry and Measure
1011262,304,1468,175,39,1,1,True,11.0,20190928,75.0,2,2,0,2,0,Number
924377,206,2822,53,30,2,1,False,12.0,20191202,0.0,2,2,0,1,1,Algebra
328960,704,4928,28,105,1,1,False,12.0,20200211,0.0,1,2,0,0,1,Geometry and Measure
653371,337,2597,211,46,2,1,False,11.0,20191111,50.0,2,2,0,2,2,Number
384149,566,868,4,75,1,1,False,0.0,20191016,100.0,2,2,0,1,1,Number
291739,945,2657,335,5,2,1,False,0.0,20191214,0.0,2,2,0,1,1,Number
307609,463,4554,332,46,2,1,False,12.0,20191118,100.0,2,2,0,0,2,Number
1018078,669,2521,109,78,0,1,False,0.0,20200204,0.0,1,2,0,1,1,Geometry and Measure
1142012,497,2049,336,59,0,1,False,0.0,20200213,0.0,1,2,0,1,1,Geometry and Measure
849176,285,4086,64,68,1,0,False,11.0,20191107,0.0,2,1,0,2,2,Number
900584,403,1730,305,75,2,1,True,11.0,20191015,0.0,2,2,0,2,0,Geometry and Measure
69633,809,3691,149,46,1,1,False,11.0,20191115,0.0,2,2,0,2,2,Number
667753,143,168,285,64,0,1,False,0.0,20191110,100.0,2,2,0,1,1,Number
1266439,62,4999,311,91,2,1,False,12.0,20200315,0.0,0,2,0,0,2,Geometry and Measure
915494,460,1006,157,64,0,1,False,0.0,20191211,100.0,2,2,0,1,1,Number
1263634,291,1626,313,50,2,1,False,11.0,20191128,0.0,2,2,0,2,2,Algebra
1251087,492,4651,22,78,2,1,False,0.0,20200209,0.0,1,2,0,1,1,Geometry and Measure
798307,748,2022,6,6,1,0,False,12.0,20200305,0.0,0,1,0,0,1,Algebra
265957,778,5952,185,47,1,1,False,11.0,20200325,100.0,0,2,0,2,2,Geometry and Measure
146203,65,4560,71,53,1,1,True,11.0,20191011,0.0,2,2,0,2,0,Number
332553,155,5670,211,97,1,0,True,12.0,20200111,0.0,1,1,0,2,0,Geometry and Measure
100140,71,178,384,62,0,0,False,0.0,20191115,0.0,2,1,0,1,1,Number
792071,938,3836,315,46,1,1,False,11.0,20191207,0.0,2,2,0,2,2,Number
925332,788,1244,368,62,0,1,False,0.0,20191209,0.0,2,2,0,1,1,Number
1005104,111,5136,2,65,0,1,False,0.0,20191124,0.0,2,2,0,1,1,Number
483103,824,5762,315,78,1,0,False,11.0,20191228,100.0,2,1,0,2,2,Geometry and Measure
1148166,508,5949,211,97,1,1,True,12.0,20200112,75.0,1,2,0,0,0,Geometry and Measure
494180,475,6076,37,39,2,1,False,11.0,20191001,50.0,2,2,0,2,2,Number
155657,913,4402,226,105,1,0,False,0.0,20200128,0.0,1,1,0,1,1,Geometry and Measure
739942,789,2954,378,5,0,0,False,0.0,20191126,100.0,2,1,0,1,1,Number
1201323,146,2990,290,85,1,1,False,0.0,20200316,0.0,0,2,0,1,1,Geometry and Measure
579103,88,2780,315,101,1,1,False,11.0,20191020,0.0,2,2,0,2,2,Number
468416,806,3314,300,59,2,1,False,11.0,20200120,0.0,1,2,0,2,1,Geometry and Measure
1147007,767,2704,260,39,2,1,False,11.0,20191010,100.0,2,2,0,2,2,Number
849590,588,916,334,66,0,0,False,0.0,20200211,50.0,1,1,0,1,1,Number
897187,501,433,380,59,1,1,False,12.0,20200119,0.0,1,2,0,0,0,Geometry and Measure
1252652,729,4604,37,59,2,0,False,11.0,20200124,0.0,1,1,0,2,1,Geometry and Measure
573274,795,3469,200,109,2,0,False,11.0,20191130,75.0,2,1,0,2,2,Number
1003239,739,2850,334,118,0,0,False,0.0,20200403,0.0,0,1,0,1,1,Number
1083318,679,5784,136,18,1,0,False,11.0,20190922,0.0,2,1,0,2,2,Geometry and Measure
1045028,178,5639,288,64,2,1,True,11.0,20191113,100.0,2,2,0,2,0,Number
244192,661,1670,37,97,2,0,False,11.0,20200229,0.0,1,1,0,2,1,Geometry and Measure
574982,353,2322,37,91,2,1,False,11.0,20200407,0.0,0,2,0,2,1,Geometry and Measure
1092339,551,5286,345,37,0,0,False,0.0,20191126,0.0,2,1,0,1,1,Algebra
201304,441,1597,304,60,0,1,False,0.0,20200205,0.0,1,2,0,1,1,Algebra
1233912,788,6006,27,62,1,0,True,11.0,20191113,0.0,2,1,0,2,0,Number
1339503,749,2208,53,30,2,0,False,11.0,20200331,0.0,0,1,0,1,1,Number
1062216,326,2878,282,75,0,0,False,0.0,20191008,0.0,2,1,0,1,1,Number
1378839,375,1389,165,47,2,1,False,11.0,20200323,100.0,0,2,0,2,2,Geometry and Measure
652708,492,1585,163,78,2,0,False,11.0,20191227,0.0,2,1,0,2,1,Geometry and Measure
910303,188,2598,244,76,0,0,False,0.0,20200421,75.0,0,1,0,1,1,Number
160977,438,5359,199,32,0,1,False,0.0,20191022,0.0,2,2,0,1,1,Number
1245596,271,4360,360,91,2,0,False,0.0,20200401,0.0,0,1,0,1,1,Geometry and Measure
425913,41,5362,211,12,1,1,True,11.0,20200224,0.0,1,2,0,2,0,Geometry and Measure
848839,262,3997,194,113,0,0,False,0.0,20200215,0.0,1,1,0,1,1,Geometry and Measure
587219,101,2354,103,73,0,0,False,0.0,20191013,75.0,2,1,0,1,1,Number
338539,27,1974,53,25,2,1,False,10.0,20200305,0.0,0,2,0,0,1,Number
1283002,133,5085,32,17,2,1,False,0.0,20191101,100.0,2,2,0,1,1,Number
310417,365,6124,102,78,2,0,False,11.0,20200204,0.0,1,1,0,2,1,Geometry and Measure
1129053,496,3579,386,86,0,1,False,0.0,20200126,100.0,1,2,0,1,1,Algebra
727849,405,4127,318,64,2,1,False,11.0,20191028,100.0,2,2,0,2,2,Number
1083970,742,3728,193,73,1,1,False,11.0,20191009,50.0,2,2,0,2,2,Number
585957,528,5560,3,111,1,0,True,12.0,20200201,0.0,1,1,0,0,0,Geometry and Measure
1318589,510,1614,11,103,0,1,False,0.0,20200323,0.0,0,2,0,1,1,Geometry and Measure
59807,423,2741,235,5,0,0,False,0.0,20200203,0.0,1,1,0,1,1,Number
294395,219,890,166,109,1,1,False,11.0,20191217,0.0,2,2,0,2,2,Number
513044,39,6013,383,88,1,0,False,12.0,20200311,0.0,0,1,0,0,1,Geometry and Measure
891537,754,5983,83,62,0,0,False,0.0,20191128,0.0,2,1,0,1,1,Number
455483,819,1979,159,32,0,0,False,0.0,20191019,0.0,2,1,0,1,1,Number
546165,564,2580,145,60,1,1,True,12.0,20191226,0.0,2,2,0,0,0,Algebra
614777,319,717,202,37,2,1,False,11.0,20191116,100.0,2,2,0,2,2,Algebra
1026290,766,967,129,105,1,0,False,0.0,20200122,0.0,1,1,0,1,1,Geometry and Measure
1031674,172,4190,179,12,2,0,True,12.0,20200401,0.0,0,1,0,0,0,Geometry and Measure
1288839,290,6106,300,63,2,1,False,11.0,20191109,0.0,2,2,0,2,2,Number
191995,145,3047,352,109,1,0,False,12.0,20191125,50.0,2,1,0,0,1,Number
714284,201,845,339,59,0,1,False,0.0,20200204,0.0,1,2,0,1,1,Geometry and Measure
636083,76,2587,269,25,1,1,True,11.0,20200108,100.0,1,2,0,2,0,Algebra
1116236,214,1850,260,111,1,0,False,12.0,20200116,0.0,1,1,0,0,1,Geometry and Measure
663925,869,4360,360,12,2,0,False,0.0,20200420,0.0,0,1,0,1,1,Geometry and Measure
62974,90,2668,84,84,1,0,False,12.0,20191211,0.0,2,1,0,0,1,Algebra
83385,508,349,198,97,1,1,False,12.0,20200121,0.0,1,2,0,0,1,Geometry and Measure
79438,485,5456,37,17,2,1,False,11.0,20191025,0.0,2,2,0,2,1,Number
588255,845,852,170,115,0,1,False,0.0,20200309,0.0,0,2,0,1,1,Geometry and Measure
703915,866,2579,245,77,0,0,False,0.0,20200423,0.0,0,1,0,1,1,Geometry and Measure
531174,697,6110,95,8,2,1,False,12.0,20200310,0.0,0,2,0,0,2,Geometry and Measure
161509,709,5014,149,86,1,0,False,12.0,20191208,50.0,2,1,0,0,1,Algebra
687053,887,1193,147,32,0,1,False,0.0,20200329,75.0,0,2,0,1,1,Number
1328586,790,4344,198,57,0,0,False,0.0,20190930,0.0,2,1,0,1,1,Number
531239,457,3421,382,62,2,1,True,11.0,20191028,0.0,2,2,0,2,0,Number
1279310,533,2615,386,37,0,1,False,0.0,20191221,75.0,2,2,0,1,1,Algebra
285945,721,1629,97,97,2,0,False,12.0,20200115,75.0,1,1,0,0,1,Geometry and Measure
543644,327,593,117,17,2,0,False,0.0,20191107,75.0,2,1,0,1,1,Number
938665,792,4813,181,87,0,1,False,0.0,20200314,0.0,0,2,0,1,1,Geometry and Measure
1372180,475,2666,185,39,1,0,False,12.0,20191108,0.0,2,1,0,0,1,Number
901913,0,1095,298,53,2,0,False,11.0,20191003,0.0,2,1,0,2,1,Number
823570,782,6075,248,60,2,0,True,11.0,20191217,0.0,2,1,0,2,0,Algebra
776873,690,1345,286,105,0,1,False,0.0,20200210,0.0,1,2,0,1,1,Geometry and Measure
414590,507,3559,380,78,2,0,False,12.0,20200117,0.0,1,1,0,0,1,Geometry and Measure
18007,65,518,69,53,0,1,False,0.0,20200327,0.0,0,2,0,1,1,Number
123383,836,1490,139,37,0,0,False,0.0,20200117,0.0,1,1,0,1,1,Algebra
1078345,891,1823,181,55,0,0,False,0.0,20200320,0.0,0,1,0,1,1,Algebra
867735,840,2157,82,66,1,1,True,12.0,20200114,0.0,1,2,0,0,0,Number
558994,600,5726,96,113,1,0,False,0.0,20200204,0.0,1,1,0,1,1,Geometry and Measure
603739,855,3837,328,111,2,1,False,12.0,20200112,0.0,1,2,0,0,1,Geometry and Measure
1324355,933,5137,294,85,0,1,False,0.0,20200228,0.0,1,2,0,1,1,Geometry and Measure
973114,26,44,13,18,1,0,True,11.0,20190922,50.0,2,1,0,2,0,Geometry and Measure
191177,215,5388,272,103,0,1,False,0.0,20200323,0.0,0,2,0,1,1,Geometry and Measure
991514,540,2743,53,107,1,1,False,12.0,20200405,0.0,0,2,0,0,0,Geometry and Measure
905126,863,2196,335,78,0,1,False,0.0,20200318,0.0,0,2,0,1,1,Geometry and Measure
427144,420,225,193,75,1,1,False,12.0,20191105,0.0,2,2,0,0,0,Geometry and Measure
1070774,711,2166,169,87,1,1,False,12.0,20200228,0.0,1,2,0,0,2,Geometry and Measure
680498,159,1018,193,86,0,1,False,0.0,20191208,0.0,2,2,0,1,1,Algebra
6412,639,4593,365,64,1,0,True,11.0,20191120,0.0,2,1,0,2,2,Number
1054910,193,248,181,25,0,0,False,0.0,20191222,0.0,2,1,0,1,1,Algebra
187521,903,3716,97,87,2,0,True,12.0,20200115,0.0,1,1,0,0,0,Geometry and Measure
1199949,880,2392,198,18,0,0,False,0.0,20191019,25.0,2,1,0,1,1,Number
530784,734,1159,59,95,0,0,False,0.0,20200212,0.0,1,1,0,1,1,Geometry and Measure
66757,230,4537,227,50,0,0,False,0.0,20191120,25.0,2,1,0,1,1,Algebra
1065722,695,2873,166,87,2,0,False,11.0,20200225,0.0,1,1,0,2,1,Geometry and Measure
983360,675,1557,280,73,2,0,False,11.0,20191015,0.0,2,1,0,2,1,Number
808233,79,2116,24,66,0,1,False,0.0,20191230,0.0,2,2,0,1,1,Number
141345,39,4902,304,88,0,0,False,0.0,20200130,0.0,1,1,0,1,1,Geometry and Measure
784242,48,4710,288,91,1,1,True,12.0,20200331,0.0,0,2,0,0,0,Geometry and Measure
349029,565,40,14,55,2,0,False,12.0,20200214,0.0,1,1,0,0,1,Algebra
570329,370,4858,269,37,1,0,False,12.0,20191212,0.0,2,1,0,0,1,Algebra
326452,711,6066,133,87,1,1,False,0.0,20200225,0.0,1,2,0,0,2,Geometry and Measure
1183740,545,6066,133,25,1,1,False,0.0,20191221,0.0,2,2,0,1,1,Algebra
114585,484,5299,289,111,2,1,True,12.0,20191216,0.0,2,2,0,0,0,Geometry and Measure
